序号,是否重点,项目名称,需求人数,第一志愿申请数,第二志愿申请数,第三志愿申请数,第四志愿申请数,基地名称,基地级别,基地省市,备注
1,是,固态电池研发工程师助理,1,1,0,0,1,(基层实践)四川宜宾基地,校级基地,四川省,
2,否,新市镇两河口村“一串红”党员志愿服务基层治理模式研究,1,0,0,0,1,德阳基地,校级基地,,
3,是,驱制融合架构下智能底盘动态轨迹跟踪与能耗协同优化研究,1,0,0,0,0,苏州吴中基地,校级基地,,
4,是,南湖计算框架,2,0,0,0,0,清华大学研究生社会实践余杭基地,校级基地,浙江省,
5,是,偏离基线的异常活动建模分析揭示意图、计划或状态变化研究,1,1,0,0,0,清华大学电子工程系研究生社会实践清思智能基地,系级基地,北京市,
6,是,谐波减速器柔轮齿形开发,1,1,0,0,0,苏州吴中基地,校级基地,,
7,是,公司87年历史整理与文化传承专项研究——基于档案、口述与影像的综合梳理,1,1,3,1,,广东深圳华润基地,系级基地,广东省,PDF右侧截断，第四志愿数未显示
8,是,晋中市新能源汽车产业招商方向及路径研究,2,0,0,0,0,晋中基地,校级基地,山西省,
9,是,"电化学储能集装箱热管理设计开发。含电池散热、集装箱层级除湿、保温、电气件散热等相关工作,包含3D绘图设计,热仿真,热设计,供应商开发,测试等工作。",1,1,0,0,1,清华大学车辆学院研究生社会实践远景动力基地,系级基地,上海市,
10,是,复杂环境光储充系统先进实证技术研究,2,0,0,0,0,广州黄埔,校级基地,广东省,
11,是,类 OpenClaw 的智能体技能自主发现、创造与强化学习优化,3,0,1,1,0,清华大学电子工程系研究生社会实践天津电子信息研究院基地,系级基地,天津市,
12,是,副总经理助理,1,0,0,0,0,(基层实践)四川宜宾基地,校级基地,四川省,
13,是,面向高考综合改革的全国网上录取系统研制与技术支持,11,1,1,1,1,浙江考试院,系级基地,浙江省,
14,否,低成本双臂数据采集系统搭建,1,0,0,0,0,苏州吴中基地,校级基地,,
15,是,面向电芯研发场景的智能研发agent平台开发,1,0,0,0,0,清华大学车辆学院研究生社会实践远景动力基地,系级基地,上海市,
16,否,基于AI的非标设备运动轨迹优化与仿真,2,0,0,1,0,清华大学精仪系研究生社会实践久煜基地,系级基地,江苏省,
17,是,"弘扬晋商文化,晋中“四城六院”文旅定位差异化研究",2,2,0,0,0,晋中基地,校级基地,山西省,
18,是,村级债务化解路径与对策研究——以湘东区为例,2,0,1,0,0,江西萍乡湘东区基地,系级基地,江西省,
19,是,Agentic Digital IC Design and Verification,1,1,0,0,0,长鑫存储技术有限公司,校级基地,安徽省,
20,否,地毯个性化需求评价指标体系构建,2,0,0,0,0,青海圣源基地,系级基地,青海省,
21,是,空气预热器换热管挂灰对其余换热管耦合作用的研究分析,1,0,0,0,0,青岛德固特节能装备股份有限公司,系级基地,山东省,
22,否,勘察设计合同AI智能评审系统,1,0,0,0,1,中国联合基地,系级基地,浙江省,
23,否,【项目定制优先】面向机器人场景的生成式世界模型推理加速的方法研究,1,2,1,0,0,清华大学机械工程系研究生社会实践小鹏集团基地,系级基地,广东省,
24,是,持续打造森林首笔碳汇交易等生态产品价值实现典型案例,2,1,0,0,0,清华大学经管学院研究生社会实践延庆基地,系级基地,北京市,
25,否,基于视觉风格识别与理解的设计分析系统设计,2,0,0,0,0,青海圣源基地,系级基地,青海省,
26,是,关于万家基层党务工作标准化、流程化、制度化有效管理工具及其使用场景的研究,1,1,2,0,,广东深圳华润基地,系级基地,广东省,PDF右侧截断，第四志愿数未显示
27,是,放射治疗中基于光学体表监测的靶区运动关联与预测算法研究,2,0,0,0,0,广州黄埔,校级基地,广东省,
28,是,锂电池电解液添加剂开发,1,1,1,0,0,清华大学车辆学院研究生社会实践远景动力基地,系级基地,上海市,
29,否,德阳市农业产业振兴与农业农村现 代化研究,1,0,0,0,0,德阳基地,校级基地,,
30,是,基于脉冲神经网络(SNN)的旋转机械故障诊断平台研发,1,0,1,0,0,清华大学自动化系研究生社会实践金风科技基地,系级基地,北京市,
31,是,电池正极材料前驱体回转煅烧窑仿真分析,1,0,1,0,0,青岛德固特节能装备股份有限公司,系级基地,山东省,
32,是,【项目定制优先】美丽中国建设进程评估,2,1,0,0,0,生态环境部环境规划院(环境),系级基地,北京市,
33,是,基于硬件在环的GPGPU系统性能优化AI Agent,3,0,0,0,2,清华大学电子工程系研究生社会实践壁仞科技基地,系级基地,上海市,
34,是,分段燃烧尾气炉燃烧模拟,1,0,0,0,0,青岛德固特节能装备股份有限公司,系级基地,山东省,
35,是,重症胰腺炎“清热解毒、软坚散结”法疗效评价研究:从证候标准化到多维度评价体系的建立,1,0,0,0,0,晋中基地,校级基地,山西省,
36,是,具身智能研发,2,0,0,0,0,清华大学电子工程系研究生社会实践天津电子信息研究院基地,系级基地,天津市,
37,否,接入动作生成模型至Iron通用动作跟踪控制器,1,1,2,0,0,清华大学机械工程系研究生社会实践小鹏集团基地,系级基地,广东省,
38,是,泵控内置式高功率密度直线驱动器及应用其的机器人,1,0,0,0,0,晋中基地,校级基地,山西省,
39,是,灵石县上消化道癌健康筛查结果分析,1,0,0,0,0,晋中基地,校级基地,山西省,
40,否,多手术场景双目结构光点云成像算法研究,2,0,0,0,0,广州黄埔,校级基地,广东省,
41,是,S100A16 介导钙依赖信号传导调控肺癌糖酵解促进增殖与转移的机制研 究,2,0,0,0,,安徽省马鞍山市,校级基地,安徽省,PDF右侧截断，第四志愿数未显示
42,否,玄武岩纤维原丝成束工艺及装置优化研究,1,0,1,0,0,中铁建设基地,系级基地,无,
