seq,title,relative_path,url
1,固态电池研发工程师助理,/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2c0413,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2c0413
2,新市镇两河口村“一串红”党员志愿服务基层治理模式研究,/f/xs/xmsq/view/26ef84e79d66ae67019daf5f7e6c181f,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019daf5f7e6c181f
3,驱制融合架构下智能底盘动态轨迹跟踪与能耗协同优化研究,/f/xs/xmsq/view/26ef84e89cf5aeee019d1d8debf200d7,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d1d8debf200d7
4,南湖计算框架,/f/xs/xmsq/view/26ef84e89cf5aeee019d3c91e57d0215,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d3c91e57d0215
5,偏离基线的异常活动建模分析揭示意图、计划或状态变化研究,/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0ae7,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0ae7
6,谐波减速器柔轮齿形开发,/f/xs/xmsq/view/26ef84e89cf5aeee019d1d8ae9fa00b8,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d1d8ae9fa00b8
7,公司87年历史整理与文化传承专项研究——基于档案、口述与影像的综合梳理,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1729,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1729
8,晋中市新能源汽车产业招商方向及路径研究,/f/xs/xmsq/view/26ef84e79d66ae67019db44f864c1937,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019db44f864c1937
9,电化学储能集装箱热管理设计开发。含电池散热、集装箱层级除湿、保温、电气件散热等相关工作，包含3D绘图设计，热仿真，热设计，供应商开发，测试等工作。,/f/xs/xmsq/view/26ef84e89d66aec8019d9a3bbb200a5f,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9a3bbb200a5f
10,复杂环境光储充系统先进实证技术研究,/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d05,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d05
